"gene","PSOL_PASI_age_sex","ADL_pEASI_age_sex","AD_pEASI_age_sex","PSO_PASI_age_sex","Missing value count","Min"
"ENSG00000179913",,"0.0385504055668205",,,3,"0.0385504055668205"
"ENSG00000138496","0.0385817391390927",,,,3,"0.0385817391390927"
"ENSG00000145777","0.0385817391390927",,,,3,"0.0385817391390927"
"ENSG00000112394",,"0.0386225261107997",,,3,"0.0386225261107997"
"ENSG00000116906",,"0.0386225261107997",,,3,"0.0386225261107997"
"ENSG00000121440",,"0.0386225261107997",,,3,"0.0386225261107997"
"ENSG00000131264",,"0.0386225261107997",,,3,"0.0386225261107997"
"ENSG00000163220",,"0.0386225261107997",,,3,"0.0386225261107997"
"ENSG00000184254",,"0.0386225261107997",,,3,"0.0386225261107997"
"ENSG00000260209",,"0.0386225261107997",,,3,"0.0386225261107997"
"ENSG00000275713",,"0.0386225261107997",,,3,"0.0386225261107997"
"ENSG00000129566",,"0.0387277057759706",,,3,"0.0387277057759706"
"ENSG00000107742",,"0.0387330772308035",,,3,"0.0387330772308035"
"ENSG00000180104",,"0.0387330772308035",,,3,"0.0387330772308035"
"ENSG00000188033","0.0387674806547632",,,,3,"0.0387674806547632"
"ENSG00000238197","0.0387674806547632",,,,3,"0.0387674806547632"
"ENSG00000259358","0.0387674806547632",,,,3,"0.0387674806547632"
"ENSG00000101138","0.00387790183207434",,,,3,"0.00387790183207434"
"ENSG00000204435","0.00387790183207434",,,,3,"0.00387790183207434"
"ENSG00000255128","0.00387790183207434",,,,3,"0.00387790183207434"
"ENSG00000253919",,"0.0388231197964107",,,3,"0.0388231197964107"
"ENSG00000172081",,"0.0388439438848413",,,3,"0.0388439438848413"
"ENSG00000008311",,"0.0388470090891305",,,3,"0.0388470090891305"
"ENSG00000102466",,"0.0388470090891305",,,3,"0.0388470090891305"
"ENSG00000106948",,"0.0388470090891305",,,3,"0.0388470090891305"
"ENSG00000139514",,"0.0388470090891305",,,3,"0.0388470090891305"
"ENSG00000176024",,"0.0388470090891305",,,3,"0.0388470090891305"
"ENSG00000147606","0.0389545661402189",,,,3,"0.0389545661402189"
"ENSG00000166582","0.0389545661402189",,,,3,"0.0389545661402189"
"ENSG00000186591","0.0389545661402189",,,,3,"0.0389545661402189"
"ENSG00000237892","0.0389545661402189",,,,3,"0.0389545661402189"
"ENSG00000211790",,,"0.0390251234214256",,3,"0.0390251234214256"
"ENSG00000120549",,"0.0391118647043305",,,3,"0.0391118647043305"
"ENSG00000161921",,"0.0391118647043305",,,3,"0.0391118647043305"
"ENSG00000170113",,"0.0391118647043305",,,3,"0.0391118647043305"
"ENSG00000176194",,"0.0391118647043305",,,3,"0.0391118647043305"
"ENSG00000185668",,"0.0391118647043305",,,3,"0.0391118647043305"
"ENSG00000204936",,"0.0391118647043305",,,3,"0.0391118647043305"
"ENSG00000215158","0.0391571841743945",,,,3,"0.0391571841743945"
"ENSG00000267039","0.0391686952949336",,,,3,"0.0391686952949336"
"ENSG00000112769",,"0.0391761307953572",,,3,"0.0391761307953572"
"ENSG00000099917",,"0.0392025539005126",,,3,"0.0392025539005126"
"ENSG00000260532","0.0393355419383015",,,,3,"0.0393355419383015"
"ENSG00000261040","0.0393500727404666",,,,3,"0.0393500727404666"
"ENSG00000112164","0.0393565719941384",,,,3,"0.0393565719941384"
"ENSG00000146856","0.0393565719941384",,,,3,"0.0393565719941384"
"ENSG00000230510",,"0.0394049546410232",,,3,"0.0394049546410232"
"ENSG00000071553","0.0394967343972461",,,,3,"0.0394967343972461"
"ENSG00000075673","0.0394967343972461",,,,3,"0.0394967343972461"
"ENSG00000119707","0.0394967343972461",,,,3,"0.0394967343972461"
"ENSG00000138028","0.0394967343972461",,,,3,"0.0394967343972461"
"ENSG00000156284","0.0394967343972461",,,,3,"0.0394967343972461"
"ENSG00000196510","0.0394967343972461",,,,3,"0.0394967343972461"
"ENSG00000252383","0.0394967343972461",,,,3,"0.0394967343972461"
"ENSG00000265185","0.0395044930430956",,,,3,"0.0395044930430956"
"ENSG00000175121","0.0399099827110337",,,,3,"0.0399099827110337"
"ENSG00000287760",,,"0.0400108380690029",,3,"0.0400108380690029"
"ENSG00000108242","0.0400117996308591",,,,3,"0.0400117996308591"
"ENSG00000112195",,"0.0400955155584154",,,3,"0.0400955155584154"
"ENSG00000166484",,"0.0400955155584154",,,3,"0.0400955155584154"
"ENSG00000204560",,"0.0400955155584154",,,3,"0.0400955155584154"
